text,sentiment
I absolutely loved this movie. The acting was great!,positive
Terrible film. Waste of time.,negative
"What a fantastic experience, I’ll watch it again!",positive
"Worst movie ever, I couldn’t finish it.",negative
Beautiful direction and story. Highly recommend!,positive
"Awful acting, poor story, not worth watching.",negative
Enjoyed every moment. Brilliant cast!,positive
Bad script and boring dialogues.,negative
Superb cinematography. Loved every bit of it.,positive
Not good at all. Very disappointing.,negative
